"personagem" "diálogo"
"779" "VADER" "Não há escapatória. Não me faça destruir você. Você ainda não percebeu sua importância. Você apenas começou a descobrir seu poder. Junte-se a mim e eu completarei seu treinamento. Com nossa força combinada , podemos acabar com esse conflito destrutivo e trazer ordem para a galáxia."
"780" "LUKE" "Eu nunca vou me juntar a você!"
"781" "VADER" "Se você conhecesse o poder do lado negro. Obi-Wan nunca lhe contou o que aconteceu com seu pai."
"782" "LUKE" "Ele me disse o suficiente! Ele me disse que você o matou."
"783" "VADER" "Não. Eu sou seu pai."
"784" "LUKE" "Não. Não. Isso não é verdade! Isso é impossível!"
"785" "VADER" "Procure seus sentimentos. Você sabe que é verdade."
"786" "LUKE" "Não! Não! Não!"
"787" "VADER" "Luke. Você pode destruir o Imperador. Ele previu isso. É o seu destino. Junte-se a mim, e podemos governar a galáxia como pai e filho. Venha comigo. É o único caminho."
"788" "LUKE" "Ben... Ben, por favor!"
"789" "LUKE" "Ben. Leia!"
"790" "LUKE" "Ouça-me! Leia!"
"791" "LEIA" "Luke... Temos que voltar."
"792" "LANDO" "O quê?"
"793" "LEIA" "Eu sei onde Luke está."
"794" "LANDO" "Mas e aqueles caças?"
"795" "LEIA" "Chewie, apenas faça."
"796" "LANDO" "Mas e o Vader?"
"797" "LANDO" "Tudo bem, tudo bem, tudo bem."
"798" "VADER" "Traga meu ônibus espacial."
"799" "LANDO" "Olha, tem alguém lá em cima."
"800" "LEIA" "É Luke. Chewie, desacelere. Desacelere e vamos passar por baixo dele. Lando, abra a escotilha superior."
"801" "LEIA" "Ok. Calma, Chewie."
"802" "LEIA" "Lando?"
"803" "LANDO" "Ok, vamos."
"804" "LUKE" "Ah, Leia."
"805" "LANDO" "Tudo bem, Chewie. Vamos."
"806" "LEIA" "Já volto."
"807" "LEIA" "Destruidor Estelar."
"808" "LANDO" "Tudo bem, Chewie. Pronto para a velocidade da luz."
"809" "LEIA" "Se seu pessoal consertou o hiperdrive."
"810" "LEIA" "Todas as coordenadas estão definidas. É agora ou nunca."
"811" "LANDO" "Soque!"
"812" "LANDO" "Eles me disseram que consertaram. Eu confiei neles para consertar. Não é minha culpa!"
"813" "PIETT" "Eles estarão ao alcance de nosso raio trator em instantes, senhor."
"814" "VADER" "Seus homens desativaram o hyperdrive na Millennium Falcon?"
"815" "PIETT" "Sim, meu senhor."
"816" "VADER" "Bom. Prepare o grupo de embarque e prepare suas armas para atordoar."
"817" "PIETT" "Sim, meu senhor."
"818" "THREEPIO" "Bruta barulhenta. Por que não entramos na velocidade da luz?"
"819" "THREEPIO" "Não podemos? Como você sabe que o hiperdrive está desativado?"
"820" "THREEPIO" "O computador central da cidade te disse? Artoo-Detoo, você sabe que não deve confiar em um computador estranho. Ai! Preste atenção no que você está fazendo!"
"821" "VADER" "Luke."
"822" "LUKE" "Pai."
"823" "VADER" "Filho, venha comigo."
"824" "LUKE" "Ben, por que você não me contou?"
"825" "LANDO" "Chewie!"
"826" "LUKE" "É Vader."
"827" "VADER" "Luke... é o seu destino."
"828" "LUKE" "Ben, por que você não me contou?"
"829" "PIETT" "Alertar todos os comandos. Pronto para o raio trator."
"830" "THREEPIO" "Artoo, volte já! Você não terminou comigo ainda! Você não sabe como consertar o hiperdrive. Chewbacca pode fazer isso. Eu estou aqui em pedaços, e você" está tendo delírios de grandeza!"
"831" "THREEPIO" "Ah, você conseguiu!"
"832" "LANDO" "Luke, estamos prontos para decolar."
"833" "LUKE" "Boa sorte, Lando"
"834" "LANDO" "Quando encontrarmos Jabba the Hut e aquele caçador de recompensas, entraremos em contato com você."
"835" "LUKE" "Te encontro no ponto de encontro em Tatooine."
"836" "LANDO" "Princesa, vamos encontrar Han. Eu prometo."
"837" "LUKE" "Chewie, estarei esperando seu sinal."
"838" "LUKE" "Tomem cuidado, vocês dois. Que a Força esteja com vocês."
"839" "LUKE" "Ai!"
